"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2020","371.00","370.65","371.00","370.05","2.54K","0.09%"
"10/19/2020","370.65","374.00","374.00","370.65","16.51K","-0.90%"
"10/16/2020","374.00","380.90","380.90","374.00","29.58K","-1.32%"
"10/15/2020","379.00","385.00","385.00","376.50","44.27K","-1.46%"
"10/14/2020","384.60","372.50","385.95","372.50","86.65K","3.36%"
"10/13/2020","372.10","370.00","372.10","369.00","18.17K","1.25%"
"10/12/2020","367.50","371.00","371.00","367.50","1.01K","0.16%"
"10/09/2020","366.90","367.10","367.20","366.00","680.70K","-0.84%"
"10/08/2020","370.00","371.00","371.50","367.00","3.53K","-0.40%"
"10/07/2020","371.50","370.00","372.00","370.00","59.50K","0.68%"
"10/06/2020","369.00","362.00","369.00","362.00","57.68K","2.16%"
"10/05/2020","361.20","358.00","363.00","358.00","66.88K","1.32%"
"10/02/2020","356.50","357.75","357.75","355.05","5.41K","-0.14%"
"10/01/2020","357.00","357.00","357.00","357.00","25.04K","-0.20%"
"09/30/2020","357.70","353.60","358.00","352.00","0.61K","1.19%"
"09/29/2020","353.50","355.00","358.00","353.50","5.41K","-0.42%"
"09/28/2020","355.00","352.00","355.00","351.50","0.52K","0.85%"
"09/25/2020","352.00","350.00","355.00","350.00","18.00K","0.57%"
"09/24/2020","350.00","351.00","356.00","350.00","94.70K","-2.74%"
"09/23/2020","359.85","362.00","362.00","359.85","31.75K","-0.04%"
"09/22/2020","360.00","363.00","363.00","356.60","27.20K","0.00%"
"09/21/2020","360.00","363.00","363.00","360.00","21.31K","0.53%"
"09/18/2020","358.10","357.00","360.00","357.00","13.15K","0.84%"
"09/17/2020","355.10","358.00","359.00","354.00","9.35K","-0.48%"
"09/16/2020","356.80","360.00","363.00","355.90","10.05K","-0.86%"
"09/15/2020","359.90","370.00","370.00","359.90","26.48K","-1.67%"
"09/14/2020","366.00","369.00","369.00","365.00","42.18K","-1.07%"
"09/11/2020","369.95","372.00","372.00","367.05","49.06K","0.53%"
"09/10/2020","368.00","364.00","369.00","364.00","29.49K","1.10%"
"09/09/2020","364.00","363.50","367.90","363.00","1.15K","0.23%"
"09/08/2020","363.15","361.10","365.05","361.10","1.16K","-1.59%"
"09/07/2020","369.00","365.00","369.00","362.00","1.83K","1.14%"
"09/04/2020","364.85","369.50","369.50","364.85","22.26K","-1.12%"
"09/03/2020","369.00","369.00","370.00","366.00","0.94K","0.24%"
"09/02/2020","368.10","371.00","377.00","367.20","9.57K","-0.75%"
"09/01/2020","370.90","358.05","370.90","358.05","23.57K","4.00%"
"08/31/2020","356.65","355.00","359.95","352.00","47.21K","0.41%"
"08/28/2020","355.20","361.00","361.00","353.00","65.14K","-1.36%"
"08/27/2020","360.10","370.05","371.00","360.10","34.99K","-3.22%"
"08/26/2020","372.10","375.00","377.00","371.00","5.80K","-0.77%"
"08/25/2020","375.00","378.60","380.00","374.95","22.06K","-0.95%"
"08/24/2020","378.60","384.95","384.95","375.00","28.08K","-1.28%"
"08/19/2020","383.50","382.55","383.55","382.55","3.62K","-0.26%"
"08/18/2020","384.50","387.75","387.75","382.05","2.97K","-0.13%"
"08/17/2020","385.00","387.90","387.90","383.10","23.69K","-0.54%"
"08/13/2020","387.10","389.00","389.00","386.00","30.83K","-0.49%"
"08/12/2020","389.00","381.15","389.00","381.15","41.77K","2.06%"
"08/11/2020","381.15","384.95","384.95","381.05","56.51K","0.04%"
"08/10/2020","381.00","377.00","384.90","377.00","18.38K","1.33%"
"08/07/2020","376.00","375.00","376.95","371.00","22.18K","0.31%"
"08/06/2020","374.85","374.50","375.00","374.00","8.85K","0.98%"
"08/05/2020","371.20","369.00","374.00","369.00","15.36K","0.32%"
"08/04/2020","370.00","368.90","370.00","366.00","18.62K","1.34%"
"08/03/2020","365.10","369.00","369.00","365.10","21.83K","-1.06%"
"07/29/2020","369.00","365.15","369.00","365.10","48.62K","-0.24%"
"07/28/2020","369.90","362.00","369.90","362.00","8.85K","2.18%"
"07/27/2020","362.00","358.00","362.00","355.50","72.44K","1.12%"
"07/24/2020","358.00","355.05","358.00","355.05","41.89K","0.70%"
"07/23/2020","355.50","355.00","358.00","354.05","11.16K","0.14%"
"07/22/2020","355.00","356.10","356.10","350.00","7.67K","-0.84%"
"07/21/2020","358.00","357.00","359.80","356.15","7.61K","0.00%"
"07/20/2020","358.00","355.00","358.00","355.00","3.11K","0.85%"
"07/17/2020","355.00","357.00","357.00","355.00","3.01K","-0.56%"
"07/16/2020","357.00","355.95","358.95","353.00","23.04K","0.54%"
"07/15/2020","355.10","351.10","356.95","351.10","11.81K","0.59%"
"07/14/2020","353.00","351.00","353.00","351.00","111.86K","0.43%"
"07/13/2020","351.50","354.95","354.95","351.00","0.44K","-0.14%"
"07/10/2020","352.00","353.00","353.90","351.05","16.36K","0.26%"
"07/09/2020","351.10","354.90","354.90","351.00","0.28K","0.03%"
"07/08/2020","351.00","358.00","358.00","351.00","1.76K","-0.03%"
"07/07/2020","351.10","352.50","353.00","350.00","59.68K","-0.40%"
"07/06/2020","352.50","357.95","357.95","350.00","12.46K","-0.72%"
"07/03/2020","355.05","357.95","358.00","355.05","20.59K","-0.55%"
"07/02/2020","357.00","352.00","357.00","352.00","6.05K","0.00%"
"07/01/2020","357.00","359.00","359.80","356.00","6.28K","0.28%"
"06/30/2020","356.00","353.00","356.00","353.00","173.97K","1.40%"
"06/29/2020","351.10","359.00","359.00","351.10","17.28K","0.29%"
"06/26/2020","350.10","355.00","360.00","350.10","65.37K","-1.39%"
"06/25/2020","355.05","359.00","359.00","355.05","37.86K","-0.55%"
"06/24/2020","357.00","363.85","363.85","354.00","31.40K","-1.46%"
"06/23/2020","362.30","364.00","364.00","361.00","4.70K","-0.45%"
"06/22/2020","363.95","364.00","364.00","361.00","5.88K","-0.01%"
"06/19/2020","364.00","369.90","369.90","360.00","65.15K","-0.29%"
"06/18/2020","365.05","374.90","374.90","365.05","337.65K","0.30%"
"06/17/2020","363.95","363.95","363.95","363.95","79.18K","3.99%"
"06/16/2020","350.00","347.00","351.40","347.00","420.55K","1.45%"
"06/15/2020","345.00","345.00","347.80","342.00","109.68K","0.88%"
"06/12/2020","342.00","348.95","348.95","342.00","41.80K","-0.87%"
"06/11/2020","345.00","348.90","350.90","344.00","77.07K","-1.12%"
"06/10/2020","348.90","354.00","354.00","348.90","80.59K","-1.43%"
"06/09/2020","353.95","354.90","354.90","353.20","89.05K","-0.16%"
"06/08/2020","354.50","354.90","354.90","352.00","29.83K","1.00%"
"06/05/2020","351.00","349.50","353.00","349.50","22.87K","0.29%"
"06/04/2020","350.00","352.90","352.95","350.00","18.79K","0.34%"
"06/03/2020","348.80","350.00","353.00","348.80","130.92K","-0.34%"
"06/02/2020","350.00","353.50","353.50","349.90","72.81K","1.01%"
"06/01/2020","346.50","343.00","348.00","343.00","48.76K","0.43%"
"05/29/2020","345.00","349.95","349.95","340.00","98.40K","0.00%"
"05/28/2020","345.00","360.00","360.00","345.00","61.06K","-2.82%"
"05/27/2020","355.00","353.00","358.00","350.00","137.90K","1.72%"
